"Time","Potential","Angle","Velocity","Acceleration"
3.0848,1.598,0.00,0.000,0.00
3.0912,1.595,0.00,0.000,0.00
3.0976,1.586,0.00,0.000,0.00
3.1040,1.595,0.00,0.000,0.00
3.1104,1.595,0.00,0.000,0.00
3.1168,1.595,0.00,0.000,0.00
3.1232,1.592,0.00,0.000,0.00
3.1296,1.595,0.00,0.000,0.00
3.1360,1.592,0.00,0.000,0.00
3.1424,1.598,0.00,0.000,0.00
3.1488,1.595,0.00,0.000,0.00
3.1552,1.583,0.00,0.000,0.00
3.1616,1.595,0.00,0.000,0.00
3.1680,1.595,0.00,0.000,0.00
3.1744,1.598,0.00,0.000,0.00
3.1808,1.586,0.00,0.000,0.00
3.1872,1.595,0.00,0.000,0.00
3.1936,1.595,0.00,0.000,0.00
3.2000,1.595,0.00,0.000,0.00
3.2064,1.589,0.00,0.000,0.00
3.2128,1.589,0.00,0.000,0.00
3.2192,1.595,0.00,0.000,0.00
3.2256,1.595,0.00,0.000,0.00
3.2320,1.595,0.00,0.000,0.00
3.2384,1.586,0.00,0.000,0.00
3.2448,1.592,0.00,0.000,0.00
3.2512,1.595,0.00,0.000,0.00
3.2576,1.595,0.00,0.000,0.00
3.2640,1.586,0.00,0.000,0.00
3.2704,1.595,0.00,0.000,0.00
3.2768,1.592,0.00,0.000,0.00
3.2832,1.595,0.00,0.000,0.00
3.2896,1.589,0.00,0.000,0.00
3.2960,1.592,0.00,0.000,0.00
3.3024,1.595,0.00,0.000,0.00
3.3088,1.595,0.00,0.000,0.00
3.3152,1.592,0.00,0.000,0.00
3.3216,1.589,0.00,0.000,0.00
3.3280,1.595,0.00,0.000,0.00
3.3344,1.592,0.00,0.000,0.00
3.3408,1.595,0.00,0.000,0.00
3.3472,1.589,0.00,0.000,0.00
3.3536,1.595,0.00,0.000,0.00
3.3600,1.595,0.00,0.000,0.00
3.3664,1.595,0.00,0.000,0.00
3.3728,1.592,0.00,0.000,0.00
3.3792,1.592,0.00,0.000,0.00
3.3856,1.595,0.00,0.000,0.00
3.3920,1.595,0.00,0.000,0.00
3.3984,1.595,0.00,0.000,0.00
3.4048,1.586,0.00,0.000,0.00
3.4112,1.592,0.00,0.000,0.00
3.4176,1.595,0.00,0.000,0.00
3.4240,1.598,0.00,0.000,0.00
3.4304,1.589,0.00,0.000,0.00
3.4368,1.595,0.00,0.000,0.00
3.4432,1.595,0.00,0.000,0.00
3.4496,1.595,0.00,0.000,0.00
3.4560,1.592,0.00,0.000,0.00
3.4624,1.592,0.00,0.000,0.00
3.4688,1.589,0.00,0.000,0.00
3.4752,1.595,0.00,0.000,0.00
3.4816,1.592,0.00,0.000,0.00
3.4880,1.586,0.00,0.000,0.00
3.4944,1.595,0.00,0.000,0.00
3.5008,1.595,0.00,0.000,0.00
3.5072,1.598,0.00,0.000,0.00
